,module,numWomen,numMen,wScore,propWomen
27,MODqtC86FO4F6,39,172,-6.784868946871477,0.1848341232227488
28,MODm0aQmVX01M,41,185,68.18592520090385,0.18141592920353983
29,MODqDjqzQZmDk,19,70,-370.5799248821848,0.21348314606741572
30,MODLCBqcjr8S0,41,139,-217.03025728176414,0.22777777777777777
31,MOD3UMSGF7NG6,31,92,-329.04727729816193,0.25203252032520324
32,MODDRFt1xhkHH,59,203,-68.76815033788756,0.22519083969465647
33,MODvb9BaRfGTL,84,279,228.6775095160123,0.23140495867768596
34,MODC7BpiUarty,18,79,-360.0438459042824,0.18556701030927836
35,MODlylFgCGVDx,13,65,-24.74941625012387,0.16666666666666666
36,MODcwLpU0GLNg,13,67,57.55083777983315,0.1625
37,MODnjwhH5SVRf,13,67,160.11908338393772,0.1625
38,MODMWdggSBd8G,12,60,-249.0897759872019,0.16666666666666666
39,MODdPFYctzqtW,12,57,-370.5799248821848,0.17391304347826086
40,MODoyhXeWTGPg,12,50,-502.29356500359944,0.1935483870967742
41,MODgUpfSC4RY4,13,67,-83.10585405900478,0.1625
42,MOD7XOt66TVDn,12,59,-360.0438459042824,0.16901408450704225
43,MODOrdFMhtIiw,4,10,-360.0438459042824,0.2857142857142857
44,MODPDldGUx4QU,5,18,-281.0116816505563,0.21739130434782608
45,MODucO9SA8Nod,14,58,-174.34923440088147,0.19444444444444445
46,MOD4O6X6W8BpT,27,105,-120.33990641514228,0.20454545454545456
47,MODFP5A31uo4o,3,10,-310.18691371885086,0.23076923076923078
48,MODuMtoAttNLb,1,0,-465.6948273359047,1.0
49,MODtG62VjeNQU,26,119,-111.21342086301641,0.1793103448275862
50,MODjTDgRSQxWL,56,210,184.41987416197642,0.21052631578947367
51,MODAqd2Qwh11T,35,133,-24.065940902254336,0.20833333333333334
52,MODUbGaOo2Sml,9,57,-180.18866810002837,0.13636363636363635
53,MODVeDEHPd8WY,23,120,-91.28687361077331,0.16083916083916083
54,MODn1gXTuO6hP,56,234,175.54239544298812,0.19310344827586207
55,MOD2Ea1m0OVp1,52,206,96.29236158433736,0.20155038759689922
56,MODKOS4wa9uVw,22,99,187.14486193198942,0.18181818181818182
57,MOD50WUK6fpJX,20,90,-319.07428850963913,0.18181818181818182
58,MODmfUVh6Fr3Y,15,78,-539.232574966163,0.16129032258064516
59,MOD20bVLXlsqR,0,1,-173.2480190608611,0.0
60,MODg8N63jsj7k,0,2,-36.52715961045881,0.0
61,MODZpaWWjkUwQ,0,1,-36.52715961045881,0.0
62,MODfoAIAkalE9,0,2,88.56830419348078,0.0
63,MODke1kzCXMO8,3,10,146.6205388262656,0.23076923076923078
64,MODvfAGosE9ab,3,30,292.3407663562398,0.09090909090909091
65,MODUZmk9kqG99,2,15,221.38782538827695,0.11764705882352941
66,MODAUBXC7glo6,7,32,394.16371894491544,0.1794871794871795
67,MODOVqmJvBrYD,43,134,-73.27666782678108,0.24293785310734464
68,MODA3ZKuktGVY,55,169,394.19002551943106,0.24553571428571427
69,MODkFuAGfR10Q,29,62,-196.51060546470586,0.31868131868131866
70,MOD9UoEj1XFDg,19,58,-284.4840390102269,0.24675324675324675
71,MODizBqZRkPAu,23,97,-275.78839367125147,0.19166666666666668
72,MODS5zpAaaA9z,49,155,63.514820581515465,0.24019607843137256
73,MODImkOPuNLgL,17,64,-287.887905918553,0.20987654320987653
74,MODRqtoHrHdXA,51,140,-17.32187640282524,0.2670157068062827
75,MODIJE8Iyq9Dv,44,135,-20.428396552078425,0.24581005586592178
76,MODBLZCzCuWwj,32,132,-370.5799248821848,0.1951219512195122
77,MOD7yEeftgxWx,33,132,-221.5673092608575,0.2
78,MODOSvI84qaNY,33,133,-62.04840739615924,0.19879518072289157
