Title,Text,[M] elective: ,[M] institution: ,[M] title: ,"[C] Altin, Rukiye (rukiye)","[C] Bradley, Steven","[C] McNeill, Fiona","[C] Minguillón, Julià (Julià Minguillón)","[C] Parker, Miranda","[C] Peltsverger, Svetlana"
COMP4107: ADVANCED COMPUTER VISION,"<h2>title</h2>COMP4107: ADVANCED COMPUTER VISION<h2>summary</h2>   <li>To enable students to critically evaluate the development of contemporary computer vision systems utilising both existing and emerging technologies. </li>   <li>To enable students to study and research a number of topic themes across relevant computer vision application areas, focusing on case studies, and undertake research within these topic themes.</li>  <h2>content</h2>   <li>Themes will be chosen from contemporary areas of computer vision including the following:</li>   <li>Advanced fundamental topics: segmentation, superpixels, saliency, optic flow and image registration in 2D/3D. </li>   <li>Computer vision for advanced visual semantic models â€“ attribute learning, zero-shot learning, visual question and answering. </li>   <li>Computer vision for advanced object and scene understanding. </li>   <li>Computer vision for behaviour understanding. </li>   <li>Computer vision for security and biometrics. </li>   <li>Computer vision for image manipulation and augmentation. </li>  <h2>ilo</h2>    <li>On completion of this module, students will be able to demonstrate a systematic understanding of the contemporary computer vision topics presented and a     critical awareness of how they are applicable to both current and emerging needs within the associated industrial and research environment.  </li> ",COMP4107,Durham_England,COMP4107: ADVANCED COMPUTER VISION,GIT,AI,AI,GIT; AI,AI,AI; GIT
COMP4137: BLOCKCHAIN AND CRYPTOCURRENCIES,"<h2>title</h2>COMP4137: BLOCKCHAIN AND CRYPTOCURRENCIES<h2>summary</h2>   <li>To introduce students to an advanced topic in Computer Science that is finding application in modern technology. </li>   <li>To give students knowledge and understanding of the theoretical basis, security and history of cryptocurrencies. </li>  <h2>content</h2>   <li>Secure hash functions and digital signatures.  </li>   <li>Simple blockchains.  </li>   <li>Decentralisation of blockchains.  </li>   <li>Bitcoin transaction and block details.  </li>   <li>Bitcoin mining.  </li>   <li>Anonymity in cryptocurrencies.  </li>   <li>Ethereum and smart contracts.  </li>   <li>Recent developments in blockchains and cryptocurrencies.  </li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>an understanding of the cryptographic protocols underlying blockchain security </li>    <li>knowledge of the key features and differences between a number of cryptocurrencies  </li>    <li>the structure and use of smart contracts in a blockchain  </li>    <li>an understanding of some recent developments in cryptocurrencies and blockchains  </li> ",COMP4137,Durham_England,COMP4137: BLOCKCHAIN AND CRYPTOCURRENCIES,SEC; 17,SEC; 15,SEC,SEP; AL,AL; SEC,AL; SEP
COMP4167: NATURAL LANGUAGE PROCESSING,"<h2>title</h2>COMP4167: NATURAL LANGUAGE PROCESSING<h2>summary</h2>   <li>Introduce the students to computational linguistics</li>   <li>Introduce the students to Language models</li>   <li>Gain experience in working with various textual data</li>   <li>Gain experience in using advanced techniques to solve natural language tasks such as text parsing, understanding, classification, translation, and generation</li>  <h2>content</h2>   <li>Text Pre-processing</li>   <li>Features Extraction</li>   <li>Language Modelling and Neural Language Modelling </li>   <li>Neural Word Embedding and their interpretation </li>   <li>Recurrent Neural Networks (RNN) for Language Models</li>   <li>Advanced variations of RNNs</li>   <li>Sequence to Sequence Architectures</li>   <li>Convolutional Neural Networks for Text Classification </li>   <li>Transformers and Attention based Models</li>   <li>Multitask Learning</li>   <li>Natural Language Generation</li>   <li>NLP Ethics and Fairness</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>Understanding of the fundamental concepts of Language Models</li>    <li>Understanding of the mathematical basis of various deep-learning based language models</li>    <li>Understanding of the learning algorithms behind major NLP use cases e.g. Machine Translation, Multi-task Learning, Language Generation, ...</li>    <li>Understanding of the embedded bias in popular language models</li> ",COMP4167,Durham_England,COMP4167: NATURAL LANGUAGE PROCESSING,AI; SEP,AI; SEP,AI,AI; 19,AI,AI
COMP4197: RANDOMISED ALGORITHMS AND PROBABILISTIC METHODS,"<h2>title</h2>COMP4197: RANDOMISED ALGORITHMS AND PROBABILISTIC METHODS<h2>summary</h2>   <li>The aim of the module is to equip students with the ability to design and analyse efficient probabilistic algorithms.</li>  <h2>content</h2>   <li> To be chosen from the following: </li>   <li> basic bounds and inequalities (Markov, Chebyshev, Chernoff) </li>   <li> Martingales </li>   <li> Markov chains and random walks </li>   <li> the probabilistic method </li>   <li> approximate counting </li>   <li> parallel and distributed probabilistic algorithms </li>  <h2>ilo</h2>    <li> On completion of the module, students will be able to demonstrate: </li>    <li> a knowledge about various important problem solving paradigms in the broad area of probabilistic methods and algorithms </li>    <li> an ability to apply techniques and methods from the relevant topics to tackle fundamental algorithmic problems </li>    <li> an ability to conduct review and self-study to further their knowledge beyond the taught material </li> ",COMP4197,Durham_England,COMP4197: RANDOMISED ALGORITHMS AND PROBABILISTIC METHODS,AI; MSF,AL; MSF,AL; MSF,AL; 09,AL; PDC; 09,MSF
Undergraduate Course: Informatics 2D - Reasoning and Agents (INFR08010),"<h2>title</h2>Undergraduate Course: Informatics 2D - Reasoning and Agents (INFR08010)<h2>summary</h2>This course focuses on approaches relating to representation, reasoning and planning for solving real world inference. The course illustrates the importance of (i) using a smart representation of knowledge such that it is conducive to efficient reasoning, and (ii) the need for exploiting task constraints for intelligent search and planning. The notion of representing action, space and time is formalized in the context of agents capable of sensing the environment and taking actions that affect the current state. There is also a strong emphasis on the ability to deal with uncertain data in real world scenarios and hence, the planning and reasoning methods are extended to include inference in probabilistic domains.<h2>content</h2>        1.  Intelligent Agents: Introduction<br>* Nature of agents, performance measures and environments<br>* Wumpus World Problem : An example thread (Programming environment) setup <br><br>2. Search based Planning<br>* Planning as a Search Problem: In deterministic, observable, static and known environments<br>* Smart Searching 1: Using constraints<br>* Smart Searching 2: Exploiting subproblems/Memoisation<br>* Informed Search and Exploration for agents <br><br>3. Logical Representation and Planning<br>* Propositional Logic Revisited (Shortcomings)<br>* First Order Logic &amp; Encoding facts/rules in FOL<br>* Inference Rules for Propositional &amp; FOL Calculus<br>* Unification and Generalized Modus Ponens<br>* Resolution based Inference and directing search with it<br>* Knowledge representation : Using FOL to represent action, space, time -- Wumpus Example<br>* Situation Calculus: Representing time in plans <br><br>4. Scaling Planning for Complex Tasks<br>* Representing States, Goals and Actions in STRIPS<br>* Partial Order Planning<br>* Planning and Acting in the Real World <br><br>5. Acting in Uncertain (real world) Environments<br>* Representation with Bayes Net<br>* Probabilistic Reasoning in Bayes Net<br>* Planning under Uncertainity : Wumpus world revisited<br>* Probabilistic Reasoning over Time I: hidden markov models<br>* Probabilistic Reasoning over Time II: dynamic Bayesian networks<br>* Markov Decision Processes <br><br>Relevant QAA Computing Curriculum Sections:  Artificial Intelligence, Human-Computer Interaction (HCI), Intelligent Information Systems Technologies, Simulation and Modelling ",cxinfr08010,Edinburgh_UK,Undergraduate Course: Informatics 2D - Reasoning and Agents (INFR08010),MSF; AI,AI; MSF,AI,AI,AI,MSF; AI
Undergraduate Course: Automated Reasoning (INFR10087),"<h2>title</h2>Undergraduate Course: Automated Reasoning (INFR10087)<h2>summary</h2>**This course replaces the Level 9 Automated Reasoning INFR09042 10 credit course from 2022-23**<br><br>Automated Reasoning covers the theory, implementation and applications of logic-based reasoning via computers. It is one of the oldest subfields of Artificial Intelligence, originating in the mid-1950s when it was first used to reason about propositional logic. Since then, it has been applied to domains ranging from the formalisation of advanced mathematics to the formal verification of software and hardware systems.<br><br>In this course, we take an interactive approach to automated reasoning and explore how the proof assistant Isabelle can work with the user to establish mathematical correctness via a formal but human-friendly proof language. This provides a way of turning logicbased reasoning into a form of programming that can then be used (among other things) to reason about problems in mathematics, e.g. probability theory and multivariate analysis, and industrially-relevant areas e.g. the safety of autonomous systems.<h2>content</h2>        The course starts with an introduction to higher order logic, theorem provers and, more specifically, Isabelle/HOL. This will set the context for the rest of the course in which Isabelle will be the framework for getting hands-on experience about the application of various theoretical concepts.<br><br>Through the lectures and weekly exercises that incorporate practical aspects the students will gain the skills needed to get started with Isabelle and progress to more complex concepts involving both representation and reasoning.<br><br>The second part will look at representation/modelling of concepts in (higher order) logic in details. Axiomatic versus conservative extensions of theories will be covered and mechanisms such as Isabelle locales will be introduced and used. Recursive definitions and inductive notions will be covered too.<br><br>The third part of the course will focus on fundamental notions such as unification and rewriting, within both a first and higher order context. It will look at notions such as termination and use Isabelle's simplifier as the tool for understanding many of the concepts. It will also look at the interplay between (fully) automatic and interactive proofs.<br><br>The fourth part will introduce declarative/structured proofs and using the Isar language of Isabelle show how proofs resembling pencil and paper ones can be formalized.<br><br>Finally the various strands will be brought together through the discussion of a non-trivial case study. This may involve either formalized mathematics (e.g. looking at a geometric theory) or a formal verification example.<br><br>The assignment will be a combination of basic to intermediate representation and reasoning in Isabelle (up to 40%), more advanced proof tackling one particular domain or example (up to 40%) and a final part which, if completed successfully, will clearly demonstrate that the student has a good grasp of the challenges that advanced interactive theorem proving entails. ",cxinfr10087,Edinburgh_UK,Undergraduate Course: Automated Reasoning (INFR10087),HCI,AI; 09,AI,AI,AI; 09,AL; AI; MSF
Undergraduate Course: Compiling Techniques (INFR10065),"<h2>title</h2>Undergraduate Course: Compiling Techniques (INFR10065)<h2>summary</h2>This course describes the phases of a modern programming language compiler with an emphasis on widely-used techniques. The course project will require students to implement a complete compiler from scratch for a simple programming language, targeting a real machine assembly such as RISC-V. <br><br>Students will also learn about implementing a compiler pass in a real compiler framework.<h2>content</h2>        * Introduction: structure of a compiler <br>* Lexical analysis: tokens, regular expressions, Lex <br>* Parsing: context-free grammars, predictive and LR parsing <br>* Abstract syntax: semantic actions, abstract parse trees <br>* Semantic analysis: symbol tables, bindings, type-checking <br>* Stack frames: representation and abstraction <br>* Intermediate code: representation trees, translation <br>* Basic blocks and traces: canonical trees and conditional branches <br>* Instruction selection: algorithms for selection, RISC and CISC <br>* Liveness analysis: solution of dataflow equations <br>* Register allocation: colouring by simplification, coalescing <br>* Real assembly language: ARM, MIPS, or RISC-V <br>* Advanced Topics may include: automatic parallelisation, popular open-source compilers: GCC, LLVM, MLIR ",cxinfr10065,Edinburgh_UK,Undergraduate Course: Compiling Techniques (INFR10065),FPL,FPL; AR,FPL,FPL,FPL,FPL
Undergraduate Course: Computer Communications and Networks (INFR10074),"<h2>title</h2>Undergraduate Course: Computer Communications and Networks (INFR10074)<h2>summary</h2>This is a comprehensive first course in Computer Communications and Networks, focusing on fundamental concepts, principles and techniques. The course will introduce basic networking concepts, including: protocol, network architecture, reference models, layering, service, interface, multiplexing, switching and standards. An overview of digital communication from the perspective of computer networking will also be provided. <br><br>Topics covered in this course include: Internet (TCP/IP) architecture and protocols, network applications, congestion/flow/error control, routing and internetworking, data link protocols, error detection and correction, channel allocation and multiple access protocols, communication media and selected topics in wireless and data centre networks. It will cover recent advances in network control and management architectures by introducing the concepts of software-defined networking (SDN) and network (function) virtualisation. <br><br>Students taking this course will gain hands-on experience in network programming using the socket API; network traffic/protocol analysis; and on assessment of alternative networked systems and architectures.<h2>content</h2>        * Introduction to Computer Networking and the Internet<br>* Digital Communication Basics<br>* The Application Layer with comprehensive treatment of networked applications (incl. multimedia data and applications)<br>* The Transport Layer<br>* The Network Layer<br>* The Data Link Layer<br>* The Medium Access Control Sub-Layer<br>* The Physical Layer<br>* Software-defined networking (SDN)<br>* Network virtualisation and network function virtualisation (NFV)<br>* Network management<br>* Introduction to data centre and wireless networks<br>* Overview and selected aspects of network security ",cxinfr10074,Edinburgh_UK,Undergraduate Course: Computer Communications and Networks (INFR10074),NC; SEC,NC,SE; NC,NC,NC,NC
Undergraduate Course: Elements of Programming Languages (INFR10061),"<h2>title</h2>Undergraduate Course: Elements of Programming Languages (INFR10061)<h2>summary</h2>Programming languages are unique forms of communication that play a dual role: not only as ways for programmers to instruct machines, but as ways for programmers to talk to each other about computation. Paradoxically, they are among the most permanent features of the computing landscape (Fortran, for example, is still widely used 60 years since its invention), and among the most energetic and innovative, with new programming languages introduced every few months, often aiming to simplify Web programming, parallel, or distributed computing.<br><br>Although few computer scientists will ever design a new, general-purpose language like Java or C++, all computer scientists need the ability to learn new languages quickly, recognise and use (or avoid misusing) common language features, and even design new domain-specific languages for restricted problem domains. The design of programming languages involves many subtle choices and tradeoffs among performance, convenience, and elegance. <br><br>This course covers the essential programming structures for managing data and controlling computation, as well as abstractions that facilitate decomposing large systems into modules. The course also covers pragmatics of programming languages, including abstract syntax, interpretation and domain-specific language implementation. You will not learn how to use any one language, but instead you will learn the basic elements you need to understand the next 700 programming languages, or even design your own.<h2>content</h2>        * Abstract syntax and name-binding; Lexical vs. dynamic scope<br>* Modelling programming language features using inference rules<br>* Interpreters as a way of defining and exploring language features<br>* Domain specific languages, translators, and pragmatics of language processing<br>* A selection of topics illustrated by case studies from current or historically important language designs:<br>  - data structures: pairs/record types; variant/union types; recursion<br>  - abstracting data: overloading; generics; ad hoc vs. parametric polymorphism<br>  - control structures: goto, loops, case/switch, exceptions<br>  - abstracting control: procedure call/return; function types; continuations<br>  - design dimensions: eager vs. lazy evaluation; purity vs. side-effects; state<br>  - object-oriented features: objects, classes, interfaces, subtyping, (multiple) inheritance<br>* Advanced topics/guest lectures on concurrent, parallel, distributed programming, security, or verification (linking to UG4 year courses)<br> ",cxinfr10061,Edinburgh_UK,Undergraduate Course: Elements of Programming Languages (INFR10061),FPL,FPL,FPL,FPL,FPL,FPL
Undergraduate Course: Foundations of Natural Language Processing (INFR10078),"<h2>title</h2>Undergraduate Course: Foundations of Natural Language Processing (INFR10078)<h2>summary</h2>***This course replaces Foundations of Natural Language Processing (INFR09028).***<br><br>This course covers some of the linguistic and algorithmic foundations of natural language processing (NLP). It builds on algorithmic and data science concepts developed in second year courses, applying these to NLP problems.  It also equips students for more advanced NLP courses in year 4. The course is strongly empirical, using corpus data to illustrate both core linguistic concepts and algorithms, including language modeling, part of speech tagging, syntactic processing, the syntax-semantics interface, and aspects of semantic and pragmatic processing. The theoretical study of linguistic concepts and the application of algorithms to corpora in the empirical analysis of those concepts will be interleaved throughout the course.<br><h2>content</h2>        An indicative list of topics to be covered include:<br><br>1. Lexicon and lexical processing:<br>* morphology<br>* language modeling<br>* hidden Markov Models and associated algorithms<br>* part of speech tagging (e.g., for a language other than English) to illustrate HMMs<br>* smoothing<br>* text classification<br><br>2. Syntax and syntactic processing:<br>* the Chomsky hierarchy<br>* syntactic concepts: constituency (and tests for it), subcategorization, bounded and unbounded dependencies, feature representations<br>* context-free grammars <br>* lexicalized grammar formalisms (e.g., dependency grammar)<br>* chart parsing and dependency parsing (eg, shift-reduce parsing)<br>* treebanks: lexicalized grammars and corpus annotation <br>* statistical parsing<br><br>3. Semantics and semantic processing:<br>* word senses: regular polysemy and the structured lexicon; distributional models; word embeddings (including biases found)<br>* compositionality, constructing a formal semantic representation from a (disambiguated) sentential syntactic analysis.<br>* predicate argument structure<br>* word sense disambiguation<br>* semantic role labelling<br>* pragmatic phenomena in discourse and dialogue, including anaphora, presuppositions, implicatures and coherence relations.<br>* labelled corpora addressing word senses (e.g., Brown), semantic roles (e.g., Propbank, SemCor), discourse information (e.g., PDTB, STAC, RST Treebank). <br><br>4. Data and evaluation (interspersed throughout other topics):<br>* cross-linguistic similarities and differences<br>* commonly used datasets <br>* annotation methods and issues (e.g., crowdsourcing, inter-annotator agreement)<br>* evaluation methods and issues (e.g., standard metrics, baselines)<br>* effects of biases in data<br><br> ",cxinfr10078,Edinburgh_UK,Undergraduate Course: Foundations of Natural Language Processing (INFR10078),MSF; FPL,AI,AI,AI; 19,AI,AI
Undergraduate Course: Introduction to Databases (INFR10080),"<h2>title</h2>Undergraduate Course: Introduction to Databases (INFR10080)<h2>summary</h2>Data is one of the most important assets of any enterprise and plays a central role in many aspects of everyday life, from healthcare, to education, to commerce. In order to be turned into meaningful information that enables and supports decision making, data must be stored, maintained, processed and analysed. Database management systems are complex software programs that allow their users to perform these tasks in an efficient and reliable way. This course is an introduction to the principles underlying the design and implementation of relational databases and database management systems.<br><br>* This course replaces ""Database Systems"" (INFR10070) from academic year 2020/21. *<h2>content</h2>        Databases encompass many areas of Computer Science, from formal logic to programming languages, from operating systems to algorithms and data structures. This course will cover in detail the main language for relational databases, SQL, which is an international standard supported by virtually all systems on the market today. It will also cover the theoretical query languages on which SQL's core is based, namely relational algebra and relational calculus. Other important topics covered during the course include normal forms, transaction processing, concurrency control, incomplete data and rudiments of query optimization. <br><br>Syllabus (core topics)<br>- The relational model and rudiments of SQL<br>- Query languages: relational algebra and calculus<br>- Multisets, grouping and aggregation<br>- Database design: constraints and normal forms<br>- Advanced SQL: nested queries, triggers, null values<br>- Transaction management: concurrent schedules, conflict-serializability, locking<br>- Database access from applications: using SQL in a host programming language<br>- Basics of indexing, query evaluation and optimisation <br><br>Syllabus (advanced topics, if time allows)<br>- Datalog and recursive queries<br>- Incomplete data and certain answers<br> ",cxinfr10080,Edinburgh_UK,Undergraduate Course: Introduction to Databases (INFR10080),DM,DM,DM,DM,DM,DM
