"Title","Text","UnitId","[M] elective: ","[M] institution: ","[M] title: ","[C] Altin, Rukiye (rukiye)","[C] Barker, Lecia","[C] Bradley, Steven","[C] Hooshangi, Sara","[C] Kunkeler, Thom","[C] McNeill, Fiona","[C] Minguillón, Julià (Julià Minguillón)","[C] Parker, Miranda","[C] Parkinson, Jack","[C] Peltsverger, Svetlana"
"Workplace Assessment Year 4 COMPSCI4085P","<h2>title</h2>Workplace Assessment Year 4 COMPSCI4085P<h2>summary</h2><p id=""_COMPSCI4085P0""><span id=""_COMPSCI4085P1"">By the time they have reached Year 4, students will have a huge breadth of experience in the workplace and should be capable of taking the lead on their own projects or being a mentor in a </span><span id=""_COMPSCI4085P2"">particular software</span><span id=""_COMPSCI4085P3"">&nbsp;engineering domain. They should use these skills to develop a substantial piece of work which solves a given problem, documenting their progress and rationale throughout the duration of the project.</span><span id=""_COMPSCI4085P4"">&nbsp;</span><span id=""_COMPSCI4085P5"">This course, and the equivalent courses in each of the previous years of the programme, is intended to create reflective life-long learners.</span></p><h2>content</h2><p id=""_COMPSCI4085P20""><span id=""_COMPSCI4085P21"">This project aims to give the student an opportunity to demonstrate their ability to plan and manage a significant piece of software development work. They should be able to make decisions rationally and justify these decisions convincingly based on research. They should also display their technical writing ability by presenting their work as a dissertation.</span></p><h2>ilo</h2><p id=""_COMPSCI4085P22""><span id=""_COMPSCI4085P23"">By the end of this course, students will be able to:</span></p><p id=""_COMPSCI4085P24""><span id=""_COMPSCI4085P25"">1. </span><span id=""_COMPSCI4085P26"">Independently d</span><span id=""_COMPSCI4085P27"">esign and construct </span><span id=""_COMPSCI4085P28"">or extend </span><span id=""_COMPSCI4085P29"">a substantial software product which demonstrates technical achievements in computer science</span><span id=""_COMPSCI4085P30"">.</span></p><p id=""_COMPSCI4085P31""><span id=""_COMPSCI4085P32"">2. </span><span id=""_COMPSCI4085P33"">Apply </span><span id=""_COMPSCI4085P34"">technology</span><span id=""_COMPSCI4085P35"">&nbsp;and</span><span id=""_COMPSCI4085P36"">&nbsp;tools </span><span id=""_COMPSCI4085P37"">in the workplace</span><span id=""_COMPSCI4085P38"">.</span></p><p id=""_COMPSCI4085P39""><span id=""_COMPSCI4085P40"">3. </span><span id=""_COMPSCI4085P41"">Manage technical skills appropriately to address a challenging problem in computer science</span><span id=""_COMPSCI4085P42"">.</span></p><p id=""_COMPSCI4085P43""><span id=""_COMPSCI4085P44"">4. </span><span id=""_COMPSCI4085P45"">Compose and present a dissertation that documents a software engineering project</span><span id=""_COMPSCI4085P46"">&nbsp;and d</span><span id=""_COMPSCI4085P47"">ebate the decisions </span><span id=""_COMPSCI4085P48"">and </span><span id=""_COMPSCI4085P49"">set their work in the context of a software suite</span><span id=""_COMPSCI4085P50"">.</span></p> ",,"COMPSCI4085P","Glasgow_Scotland","Workplace Assessment Year 4 COMPSCI4085P","AL; FPL; SDF","SEP; SDF","SE","SDF; SE; SPD",,,,,,
"Individual Project (H) (Single) COMPSCI4025P","<h2>title</h2>Individual Project (H) (Single) COMPSCI4025P<h2>summary</h2><p id=""_COMPSCI4025P0""><span id=""_COMPSCI4025P1"">The aim of the individual project is to allow students to undertake a substantial piece of individual work, involving planning, specification, design, execution, evaluation, presentation and report-writing.</span></p><h2>content</h2><p id=""_COMPSCI4025P27""><span id=""_COMPSCI4025P28"">The aim of the individual project is to allow students to undertake a substantial piece of individual work, involving planning, specification, design, execution, evaluation, presentation and report-writing.</span></p><h2>ilo</h2><p id=""_COMPSCI4025P34""><span id=""_COMPSCI4025P35"">By the end of the course students will be able to:</span></p><p id=""_COMPSCI4025P36"">&nbsp;</p><p id=""_COMPSCI4025P37""><span id=""_COMPSCI4025P38"">1. </span><span id=""_COMPSCI4025P39"">Manage and organise a large independent solo piece of work;</span></p><p id=""_COMPSCI4025P40""><span id=""_COMPSCI4025P41"">2. </span><span id=""_COMPSCI4025P42"">Choose among technologies, tools and approaches and apply them effectively;</span></p><p id=""_COMPSCI4025P43""><span id=""_COMPSCI4025P44"">3. </span><span id=""_COMPSCI4025P45"">Synthesise technical skills appropriately to address a single challenging problem;</span></p><p id=""_COMPSCI4025P46""><span id=""_COMPSCI4025P47"">4. </span><span id=""_COMPSCI4025P48"">Develop a substantial product which demonstrates technical achievement in computer science;</span></p><p id=""_COMPSCI4025P49""><span id=""_COMPSCI4025P50"">5. </span><span id=""_COMPSCI4025P51"">Appropriately evaluate the outcome of their work;</span></p><p id=""_COMPSCI4025P52""><span id=""_COMPSCI4025P53"">6. </span><span id=""_COMPSCI4025P54"">Conduct themselves in a professional manner, taking responsibility for the progress of the project, recording their time and effectively using their supervisor's input;</span></p><p id=""_COMPSCI4025P55""><span id=""_COMPSCI4025P56"">7. </span><span id=""_COMPSCI4025P57"">Write a coherent, literate dissertation that documents the project, justifies decisions made and sets their work in context;</span></p><p id=""_COMPSCI4025P58""><span id=""_COMPSCI4025P59"">8. </span><span id=""_COMPSCI4025P60"">Present their work orally to a technical audience, communicating their project precisely and fluently;</span></p><p id=""_COMPSCI4025P61""><span id=""_COMPSCI4025P62"">9. </span><span id=""_COMPSCI4025P63"">Produce concise, informative video summaries of their work.</span></p> ",,"COMPSCI4025P","Glasgow_Scotland","Individual Project (H) (Single) COMPSCI4025P","SDF","SEP",,"SE",,,,,,
"Fundamentals of Game Design Lab","<h2>title</h2>Fundamentals of Game Design Lab<h2>summary</h2>This course is the lab component of CGDD-2012. Students will learn to develop computer based video games using a modern game engine and a programming language. Students are required to develop a computer based prototype of an original game.<h2>ilo</h2>1. Develop a basic prototype of video games2. Demonstrate advanced skills in programming utilizing a high level game engine ",,"CGDD2012L","Kennesaw_USA","Fundamentals of Game Design Lab","SDF; HCI; GIT",,"GIT","SDF; GIT",,,,,"SDF",
"Big Data Analytics","<h2>title</h2>Big Data Analytics<h2>summary</h2>This course covers algorithms and tools that are needed to build MapReduce applications with Hadoop or Spark for processing gigabyte, terabyte, or petabyte-sized datasets on clusters of commodity hardware. A wide range of data algorithms will be discussed in this course. <h2>ilo</h2>1. Explain MapReduce framework for big data analytics2. Use Hadoop and Spark for big data analytics3. Design and implement a wide range of data algorithms ",,"CS4265","Kennesaw_USA","Big Data Analytics","AL; DM","DM","AL","AR; AI",,,,,"DM",
"HPC & Parallel Programming","<h2>title</h2>HPC & Parallel Programming<h2>summary</h2>This course will introduce parallel programming techniques for shared memory and distributed memory systems. Topics include threading, OpenMP, and MPI. <h2>ilo</h2>1. Discuss the different processor and memory configurations used in HPC2. Implement programs for shared memory environments using OpenMP3. Implement programs for distributed memory environments using MPI ",,"CS4522","Kennesaw_USA","HPC & Parallel Programming","PDC","PDC","PDC","PDC",,,,,"OS; PDC",
"Global IS Project Management","<h2>title</h2>Global IS Project Management<h2>summary</h2>In this course, students will be exposed to the basic principles of Global Project Management, effective teamwork and collaboration. It will prepare students to understand key issues in global project management such as project initiation, planning, scheduling, budgeting, risk analysis, quality management and communicating and collaborating across political and cultural boundaries. Tools such as Microsoft Project will be used to develop and track Information Systems projects. <h2>ilo</h2>1. Describe project design and management2. Explain planning, design, and team concepts3. Explain project control mechanisms, estimating techniques and risk assessment4. Discuss budget planning, integration, reporting, and tracking in PM.5. Demonstrate Microsoft Project, illustrate projects in writing and presentation6. Integrate business law and ethics in Information Systems projects.7. Use computer applications to solve common problems at school, work or home.  8. Explain how diverse culture facilitates innovation and project success. ",,"CYBR3220","Kennesaw_USA","Global IS Project Management","GIT; HCI; SPD","SEP","SEP",17,,,,,,
"Software Acquisition and Project Management","<h2>title</h2>Software Acquisition and Project Management<h2>summary</h2>The course provides a high level introduction to two areas that are crucial to the IT profession, namely project management and software acquisition. It introduces students to the phases both in the project management and software acquisition and implementation process. Since requirements are crucial to both activities, the course will provide students with an in-depth introduction to requirements engineering. The course will also introduce students to a widely used project management information system. <h2>ilo</h2>1. Discuss the elements of the basic Software Development Life Cycle and implement an analysis and design of a project using current project management tools2. Compare and contrast the advantages and disadvantages of building vs buying a software system3. Identify the elements and challenges of requirements engineering and project management4. Identify the project phases and challenges of acquiring, integrating and implementing a software package5. Evaluate a Request for Proposal for a software package ",,"CYBR3223","Kennesaw_USA","Software Acquisition and Project Management",,"SDF; SEP","SE; SEP","SE; 17",,,,,,
"Network Configuration & Administration","<h2>title</h2>Network Configuration & Administration<h2>summary</h2>This course continues the study of networks. Topics include design and implementation of networks including synchronization, scheduling, exception and deadlock resolution, client server and web based collaborative systems. Network security will also be covered. Cost estimates and speed are examined from a management perspective. <h2>ilo</h2>1. Demonstrate how to manage network systems2. Apply the various management strategies to managing networks3. Describe concepts of network configuration management4. Demonstrate knowledge of SNMP, SMI, MIB, RMONI, RMON5. Demonstrate skills in configuring specialized network security software ",,"CYBR4333","Kennesaw_USA","Network Configuration & Administration","NC","NC; SEC","NC","NC; SE",,,,,"NC; SEC",
"Computer Forensics","<h2>title</h2>Computer Forensics<h2>summary</h2>This course is an exploration of the tools and techniques used to conduct digital investigations. It will include digital evidence collection, recovery, and analysis. Topics are Legal issues relating to digital evidence, recovery of deleted files and discovery of hidden information, reconstruction of user activity from e-mail, temporary Internet files and cached data, assessment of the integrity of system memory and process architecture to reveal malicious code. <h2>ilo</h2>1. Define and explain the role of digital forensics in the incident response and investigatory process2. Identify the requirements for proper evidence collection, handling and storage3. Identify and explain basic techniques to properly collect and analyze evidentiary data using appropriate tools and techniques in common scenarios4. Organize and present evidentiary data and investigatory findings for use in corporate or legal proceedings ",,"CYBR4853","Kennesaw_USA","Computer Forensics",,"DM; SEP","SEP; SEC","SEC",,,,,"SEC; SEP",
"Network Configuration & Administration","<h2>title</h2>Network Configuration & Administration<h2>summary</h2>This course continues the study of networks. Topics include design and implementation of networks including synchronization, scheduling, exception and deadlock resolution, client server and web based collaborative systems. Network security will also be covered. Cost estimates and speed are examined from a management perspective. <h2>ilo</h2>1. Demonstrate how to manage network systems2. Apply the various management strategies to managing networks3. Describe concepts of network configuration management4. Demonstrate knowledge of SNMP, SMI, MIB, RMONI, RMON5. Demonstrate skills in configuring specialized network security software ",,"IT4333","Kennesaw_USA","Network Configuration & Administration",,"SEC; NC","NC","NC",,,,,,
"COMP3487: BIOINFORMATICS","<h2>title</h2>COMP3487: BIOINFORMATICS<h2>summary</h2>   <li>To introduce students to applications of Computer Science in Biology.</li>   <li>To introduce students to some important Statistical methods and algorithms.</li>  <h2>content</h2>   <li>Dynamic programming algorithms for sequence alignment.</li>   <li>Efficient heuristic algorithms for sequence alignment.</li>   <li>Markov Chains and Hidden Markov Models (HMM). </li>   <li>Expectation-Maximisation algorithm with an application to parameter-estimation in HMM. </li>   <li>Phylogenetic Trees as a model of Evolution.  </li>   <li>Maximum parsimony and character-based techniques for tree reconstruction.  </li>   <li>Distance-based tree reconstruction via neighbour-joining techniques.  </li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>an understanding of the basic computational problems in Biology. </li>    <li>an understanding of some fundamental statistical techniques.  </li>    <li>an understanding of basic tree-reconstruction algorithms.  </li> ",,"COMP3487","Durham_England","COMP3487: BIOINFORMATICS",,"03; AI; MSF","AL; MSF; 03","MSF; 09",,,,,,
"COMP3517: COMPUTATIONAL MODELLING IN THE HUMANITIES AND SOCIAL SCIENCES","<h2>title</h2>COMP3517: COMPUTATIONAL MODELLING IN THE HUMANITIES AND SOCIAL SCIENCES<h2>summary</h2>   <li>To enable students to understand and critically evaluate the application of computational modelling&nbsp;to problems in the humanities and social sciences.</li>   <li>To introduce students to algorithms and approaches relevant to the modelling of humanities and social science data.</li>  <h2>content</h2>   <li>Computational models of text and language</li>   <li>Text and data mining</li>   <li>Critical evaluation of computational models</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>an understanding of how computational modelling can be applied to humanities and social science research</li>    <li>an understanding of computational approaches to modelling text</li>    <li>an understanding of data mining techniques.</li> ",,"COMP3517","Durham_England","COMP3517: COMPUTATIONAL MODELLING IN THE HUMANITIES AND SOCIAL SCIENCES","AL; 14; 15; DM; HCI","AI; 15; 14; FPL","14; 15","AL; MSF; 15; 14",,,,,,
"COMP3547: DEEP LEARNING","<h2>title</h2>COMP3547: DEEP LEARNING<h2>summary</h2>   <li>To enable students to be able to approach complex ill-defined problems that require deep layers of learning, and understand how this relates to learning in nature.</li>   <li>To equip students with the ability to use modern deep learning libraries in order to effectively design, train, and test neural networks in different applications.</li>  <h2>content</h2>   <li>Foundations of deep learning and learning in nature</li>   <li>PyTorch programming</li>   <li>Designing deep neural network architectures</li>   <li>Adversarial models</li>   <li>Energy-based models and Flow models</li>   <li>Sequential models and Transformers</li>   <li>Implicit representations</li>   <li>Generalisation theory</li>   <li>Meta and manifold learning</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate:</li>    <li>an understanding of state-of-the-art deep neural network architectures and neural network architecture components.</li>    <li>an understanding of statistical learning theory with deep learning approaches.</li>    <li>an understanding of the algorithms and approaches to design and evaluate deep neural networks.</li> ",,"COMP3547","Durham_England","COMP3547: DEEP LEARNING","FPL; NC; AL","AI","AI","AI",,,,,,
"COMP3577: PARALLEL SCIENTIFIC COMPUTING I","<h2>title</h2>COMP3577: PARALLEL SCIENTIFIC COMPUTING I<h2>summary</h2>   <li>Introduce scientific computing techniques for the numerical solution of problems in science and engineering</li>   <li>Introduce and familiarise students with parallel programming approaches in scientific computing</li>  <h2>content</h2>   <li>Fundamentals of numerical algorithms for ordinary differential equations.</li>   <li>Explicit time discretion techniques for ordinary differential equations.</li>   <li>Notions of error and stability analysis.</li>   <li>Approaches to programming for multiple processing units using shared memory.</li>   <li>Data parallel programming paradigms</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>an understanding of typical approaches to the numerical solution of problems in science and engineering.</li>    <li>a knowledge and appreciation of some of the research challenges in scientific computing </li>    <li>understanding of basic parallelisation strategies and when to apply them</li> ",,"COMP3577","Durham_England","COMP3577: PARALLEL SCIENTIFIC COMPUTING I","PDC","PDC","PDC; 10; FPL","PDC",,,,,,
"COMP3587: PROJECT MANAGEMENT","<h2>title</h2>COMP3587: PROJECT MANAGEMENT<h2>summary</h2>   <li>To understand and practice well established project management techniques required for the development of a significant piece of software within a team environment</li>  <h2>content</h2>   <li>Project management frameworks and application</li>   <li>Leadership and innovation</li>   <li>Managing change</li>   <li>Practical management skills</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to: </li>    <li>Compose a project management plan</li>    <li>Assess project management frameworks and evaluate their appropriateness</li>    <li>Evaluate leadership success</li>    <li>   </li> ",,"COMP3587","Durham_England","COMP3587: PROJECT MANAGEMENT",,"SEP","SEP","17; SE",,,,,,
"COMP3621: Public Engagement in Computer Science","<h2>title</h2>COMP3621: Public Engagement in Computer Science<h2>summary</h2>   <li>This module is designed primarily for students studying Department of Computer Science or Natural Sciences degree programmes.</li>   <li>To provide experience of a research-led public engagement project in Computer Science.</li>   <li>To allow students to make an in-depth study of a particular topic in Computer Science, to undertake extensive independent research and to write at length on their chosen subject in the context of public engagement.</li>   <li>To develop a range of transferable skills in researching a topic in the context of public engagement and making oral and written presentations on their work.</li>   <li>To learn to devise and develop Computer Science projects and public engagement methods appropriate to the chosen topic and relevant audience(s).  </li>  <h2>content</h2>   <li>Project: A research-led public engagement project, set in collaboration with members of staff from the Department, and possibly with an external partner, allowing students to present the results of individual and independent work (note: an original contribution to scientific knowledge is not required or expected).</li>   <li>The student will implement and evaluate the project. The student will be required to show that they can analyse a specific public engagement problem and devise and develop an appropriate public engagement approach to address that specific problem.</li>   <li>Students will choose from a wide list of broad possible topics. Each student will be assigned a member of staff as supervisor. Students will devise their own approach to researching and communicating their subject with advice from their supervisor. As part of their work they will be expected to address some of the specific aspects of their subject with the agreement of the supervisor. Students will be expected to work independently, to manage the direction of their work and to employ a significant component of self-directed learning.</li>   <li>Reflective practice: The student will keep a reflective journal of activity and produce an executive summary of that journal, summarising and communicating their reflective practice in relation to their project.</li>   <li>Transferable skills including time-management, presentation, communication, organisation, prioritisation and negotiation skills.  </li>  <h2>ilo</h2>    <li>Having studied this module, students:</li>    <li>Will have formed a detailed appreciation of the science related to a particular topic.</li>    <li>Will be able to assess and devise appropriate ways to communicate a difficult principle or concept.</li>    <li>Will have gained a broad understanding of many of the key aspects of public engagement.  </li> ",,"COMP3621","Durham_England","COMP3621: Public Engagement in Computer Science",,"SEP","SEP",18,,,,,,
"COMP3637: Compiler Design","<h2>title</h2>COMP3637: Compiler Design<h2>summary</h2>   <li>To understand how a compiler for a high-level programming language works.</li>   <li>Develop implementation skills for writing practical components of a compiler, including parsing, analysis, code generation, and optimisation.</li>   <li>Appreciate how the design of programming languages is affected by compiler considerations.</li>   <li>Implement a compiler for a high-level programming language.</li>  <h2>content</h2>   <li>Compiler frontend: Foundations of compiler theory and techniques for lexical analysis,  syntax analysis and semantic analysis.</li>   <li>Compiler backend: Intermediate representations (IRs), optimisation on IRs, machine  code generation and register allocation.</li>  <h2>ilo</h2>    <li>An understanding of the theory and practice of compiler design.</li> ",,"COMP3637","Durham_England","COMP3637: Compiler Design","FPL","FPL","FPL","OS; AR",,,,,,
"Machine Learning for Enterprise Applications","<h2>title</h2>Machine Learning for Enterprise Applications<h2>summary</h2>This course covers enterprise applications of machine learning on data analytics.  Topics span the complete life cycle of data analytics from envisioning the problem, identifying proper data, selecting suitable machine learning methods, evaluating modeling performance, and deploying the results to improve decision-making. <h2>ilo</h2>1. explain the concepts of supervised and unsupervised learning2. explain the concepts of how machine learning fits in the organization/enterprise and leads to competitive advantages. 3. Perform data analytics using supervised and unsupervised learning. 4. Evaluate the performance of machine learning models on data analysis. ",,"IT4773","Kennesaw_USA","Machine Learning for Enterprise Applications","AL; FPL; AI; HCI","AI; 17","AI","AI",,,,,,
"Wireless Security","<h2>title</h2>Wireless Security<h2>summary</h2>This course covers methods and techniques to secure wireless networks against threats and attacks. The topics may include Security and Cryptography, Network Security Protocols, Security and Layered Architecture, Voice-Oriented Wireless Networks, Data-Oriented Wireless Networks, Security in Traditional Wireless Networks, Security in Wireless LAN, Security in Wireless Ad Hoc Network, Special Topics such as Mobile Security. <h2>ilo</h2>1. Describe the fundamental concepts of information security2. Discuss the difference between wireless network security and wired network security3. Explain the security protocols and solutions for data-oriented and voice-oriented wireless systems4. Outline the security issues and solutions in mobile security ",,"IT4833","Kennesaw_USA","Wireless Security","NC","SEC","NC; SEC","SEC; NC",,,,,,
"Infrastructure Defense","<h2>title</h2>Infrastructure Defense<h2>summary</h2>This course provides an overview of the infrastructure assessment and penetration testing process and the processes and techniques for improving the defensibility of that infrastructure. <h2>ilo</h2>1. Apply problem solving skills, core IT concepts, best practices and standards to information technologies2. Identify and evaluate organizational requirements and current and emerging technologies3. Communicate effectively, both in writing and in speaking4. Demonstrate an ability to participate effectively in the planning and execution of team projects ",,"IT4883","Kennesaw_USA","Infrastructure Defense",,"SEC; SEP","SEC","SEC",,,,,,
"Embedded Systems Analysis and Design","<h2>title</h2>Embedded Systems Analysis and Design<h2>summary</h2>The analysis and design course focuses on using modern methods, techniques, and tools for specification and design of embedded systems. Topics include analytical methods such as RMA, development methods such as HOOD, and notations like UML, Petri-nets, etc. are covered. Performance evaluation based on modeling and simulation techniques is also covered. This is a project based course. <h2>ilo</h2>1. Understand the importance of embedded systems, the challenges involved, and systematic approaches to building such systems.2. Explain and implement fundamental principles and methodologies of embedded software development effectively utilizing current OOAD methodologies.3. Appreciate engineering issues in the development of embedded software, such as user concerns, maintainability, dependability and safety, and division of labor.4. Analyze a software development problem, express it succinctly and precisely, design module structures to solve a problem, and evaluate alternatives.5. Implement a module so that it executes efficiently and correctly.6. Work in a small team on an embedded systems project of significant scale and scope.7. Apply knowledge about software requirements, design, construction, project management, and quality to an embedded systems project.8. Effectively use embedded operating systems, CASE tools, languages, etc.9. Understand the scope, roles, uses, and development trends of the most widely used embedded software engineering standards. ",,"SWE3683","Kennesaw_USA","Embedded Systems Analysis and Design",,"OS; SDF","SE; SPD","AR; OS",,,,,,
"Compilers","<h2>title</h2>Compilers<h2>summary</h2>Compilers are essential tools for any computer scientist, responsible for translating textual information from one format or language to another. For example, they act as key players in the execution process of a program: they translate the program from the high-level language used by humans into a low-level language that can be executed on a computer (such as assembler or machine code).This course introduces the basic structure of a compiler: the modules that make it up and how they communicate with each other. We will focus on the case of general purpose programming languages ​​and on the process of generating an executable from a high level program.Specifically, we will see how a source program is analyzed to obtain its components and possible errors introduced by the programmer are detected. The concept of interpreter and its relationship with compilers will also be introduced. Subsequently, it will be studied how the object code is generated and optimized from the data obtained in the analysis part to improve performance. All of this will be implemented by using compiler build tools. ",,5.58,"UOC_Spain","Compilers",,"FPL","FPL","OS; AR",,,,,,
"Machine learning","<h2>title</h2>Machine learning<h2>summary</h2>The main motivation of this course is to make machine learning known and how it is situated within Artificial Intelligence as a discipline and to understand what agents and multi-agent systems are.In Artificial Intelligence an overview of Artificial Intelligence was given and some of the so-called classical methods and techniques were presented, such as problem solving, search and knowledge-based systems, approximate reasoning techniques were also seen more advanced. .In this course, you will go much deeper into the problem of machine learning (machine learning), covering the topics of unsupervised (clustering) and supervised (classification) learning. In particular, emphasis will be placed on the most advanced algorithms, such as support vector machines, classifier sets or neural networks. ",,5.583,"UOC_Spain","Machine learning","FPL; AI","AI","AI","AI",,,,,,
"Data mining","<h2>title</h2>Data mining<h2>summary</h2>Data is the new oil. Therefore, Data Mining is a subject to apply the previous knowledge acquired to Statistics and Databases and present some new ones more specific to the field of knowledge extraction. A set of methods from Artificial Intelligence are presented, which form the essential core of the discipline known as Data Mining. The basic concepts of the mentioned subjects are very useful in this matter and will allow a better evaluation of some of the techniques that will be studied. ",,5.584,"UOC_Spain","Data mining",,"AI","AI","MSF; AI",,,,,,
"Advanced computers architecture","<h2>title</h2>Advanced computers architecture<h2>summary</h2>In this subject, knowledge of the advanced architectures of current computers is deepened. On the one hand, previous knowledge in Fundamentals and Structure of Computers and Computer Architecture will be expanded. On the other hand, different models of current processor architectures will be presented. Among them, high performance architectures, multicores or GPU architectures will be studied.However, not only the purely architectural aspects of these systems will be discussed, but the different programming paradigms associated with these architectures will also be presented. ",,5.592,"UOC_Spain","Advanced computers architecture","AR","AR","AR; FPL","AR",,,,,,
"Requirements engineering","<h2>title</h2>Requirements engineering<h2>summary</h2>Requirements engineering is the discipline that helps us to identify, manage and maintain the set of software requirements that we want to develop. Requirements engineering takes place in the same context as software engineering (software development), so it can be seen as part of software engineering. Even so, it must be taken into account that requirements engineering requires knowledge and skills from other disciplines such as psychology, marketing or design.The purpose of this course is for future software engineers to deepen their study of the problems, techniques, and tools related to obtaining, managing, documenting, and validating/verifying the requirements of a software system. When presenting the contents of this course, we have set ourselves two main objectives:1) The discipline of requirements engineering is presented from a practical point of view, giving great importance to the techniques and tools that students will be able to apply in their professional lives.2) The broadest possible vision of requirements engineering is also given, looking at aspects as diverse as product management or the implementation of automated acceptance tests.This subject assumes that the student has basic notions of requirements engineering (in the case of UOC students, it will be assumed that they have taken the Software Engineering subject). Therefore, this course deepens and extends some concepts that have already been studied before, at the same time that it introduces new techniques and tools of requirements engineering. ",,5.593,"UOC_Spain","Requirements engineering",,"SE","SE","SE; SDF",,,"SE",,,
"Enterpreneurship","<h2>title</h2>Enterpreneurship<h2>summary</h2>New business opportunities appear every day to respond to previously non-existent or unsatisfied needs or to improve the existing offer. In addition, organizations increasingly value having an entrepreneurial organizational culture and encourage people who work to act as entrepreneurs in the same organization. And it has been shown that there is a positive relationship between entrepreneurship and the development of a country or region. Among other characteristics, it contributes to economic growth, is a source of innovation, favors job creation and contributes to social cohesion and dynamism.In this sense, the Entrepreneurial Initiative subject aims to promote the entrepreneurial spirit of students from the introduction to the main elements that make up the entrepreneurial process from an applied and practical approach. Firstly, we will introduce ourselves to the entrepreneurial phenomenon, analyzing various typologies and taking into account the gender perspective. Next, we will immerse ourselves in the ideation, validation, modeling and presentation of a viable and sustainable entrepreneurial project (following the sustainable development objectives) developing our capacities for initiative, innovation and teamwork. ",,5.595,"UOC_Spain","Enterpreneurship",17,17,17,17,,,,,,
"Foundations of information systems","<h2>title</h2>Foundations of information systems<h2>summary</h2>The continuous innovations in information and communication technologies are transforming the corporate business world into new models, new processes and new business needs. This environment has favored the investments of the companies to be more competitive in the current market, allocating a budget to the acquisition, implementation or updating of information systems.In this topic we present the basic concepts of information systems, the types of information systems, the relevance of information systems for companies, what the first information systems were like, how they have evolved and what the systems of the system have to contribute. future. In companiesWe will know the main information system: Enterprise Resource Planning, today also known as basic or traditional.We will see how the incorporation of new functionalities in the evolution of ERP systems gives rise to new collaborative information systems: Customer Relationship Management (CRM), Supplier Chain Management (SCM) or Business Intelligence (BI).And a transversal theme to any company information system, its implementation. We will cover the life cycle of an implementation project, the characteristics of its different phases, the problems and what guidelines to follow to obtain a successful implementation. ",,5.596,"UOC_Spain","Foundations of information systems",,17,"DM; 17",10,,,,,,
"Planning and strategic use of IS","<h2>title</h2>Planning and strategic use of IS<h2>summary</h2>The mission of this course is to introduce students of Computer Engineering and other careers to the basics to understand the strategic uses of technology in organizations and the management and strategic planning of information systems. In increasingly complex environments, information and technology management represents a key aspect for the success and proper functioning of any type of organization, whether private companies or public administrations.This is a relatively new discipline, both in academic theory and research, and in professional practice. The concept of CIO (the chief executive officer responsible for company information and technology) appeared in the early 1980s and the Association for Information Systems (AIS) was established in 1994.Information systems management involves the design, effective delivery, use, and impact of information technology within organizations and on society. In the words of Keen (1987), the main focus of this course is the improvement of management design and practice (""management""), in its broadest sense; After all, ""IT management is all about management"" (Austin & Nolan, 2010).The above definitions describe the hybrid nature of this topic. Technology is not an artifact outside of its use in companies, organizations and human beings. Information systems are not only design, programming or architecture, but above all their effective implementation. And its management is not just about tactics and techniques (improving the organization and processes of the IT department), but about strategy (the relationship with the business strategy and obtaining competitive advantages). For this reason, when we say ""strategic management"", we want to emphasize the more proactive and transformative role that information and technologies have for the company and the need to align information and technology systems with the strategy of the company as a whole. In addition, the volume and relevance of IT spending is increasingly on the agenda of CEOs and the steering committee of companies and organizations.This course is designed to provide students of the Bachelor's in Computer Engineering and other programs with an introductory overview of the issues currently facing business and technology and the relationship between the two and, in particular, the role of the chief executive officer responsible for systems. and technologies:What are the main strategic decisions in information systems and how should they be considered and adopted?How should ICT be directed so that they are correctly aligned with the global business strategy?How can you ensure more productive relationships between IT departments and other departments and business units?What are the main contributions of information systems to support, transform and create new products, processes and even businesses?How information and knowledge management is transforming the way of doing business and the role of IT?How can IT planning provide a framework and roadmap for meeting the company's mission and vision? How can it be implanted?How can the IT organization be transformed with a strategic sense?Additionally, currently there is talk of ""digital transformation"", the process by which organizations have to redesign their products and services, their work processes and their relationship with customers, suppliers, partners and staff due to the irruption of the internet, mobility, cloud and big data. The director of organization and information technology (CIO, or Chief Information Officer) assumes a new role as leader, or at least, prominent partner in this transformation and there is also a greater approach of users and business managers to technologies of the information. ",,5.6,"UOC_Spain","Planning and strategic use of IS",,17,"DM; 17","10; 17",,,,,,
"Syllabus for Computer Networks I","<h2>title</h2>Syllabus for Computer Networks I<h2>content</h2><h2>ilo</h2> <li>Explain in a concise manner how the Internet is constructed and functions.</li> <li>Reason about design choices at different layers in the TCP/IP protocol stack.</li> <li>Use standard tools to debug a network path.</li> <li>Theorize about establishing and maintaining communication at different levels of abstraction.</li> <li>Identify and discuss usual security issues regarding computer network protocols and applications.</li> ",,"1DT052","Uppsala_Sweden","Syllabus for Computer Networks I","NC","NC; SEC","NC","NC",,,,,,
