Title,Text,[M] elective: ,[M] institution: ,[M] title: ,"[C] Barker, Lecia","[C] Bradley, Steven","[C] Hooshangi, Sara","[C] Kunkeler, Thom","[C] Lennon, Ruth","[C] Parkinson, Jack","[C] Sibia, Naaz (Naaz Sibia)",Annotations
Undergraduate Course: Advanced Database Systems (INFR11199),"<h2>title</h2>Undergraduate Course: Advanced Database Systems (INFR11199)<h2>summary</h2>Database management systems are at the core of computer applications that need to store, manipulate, and query data. This course takes a deep dive into how modern database systems function internally, from studying their high-level design to understanding the underlying data structures and algorithms used for efficient data processing. The course covers a range of data management techniques from both commercial systems and cutting-edge research literature, enabling students to apply these techniques to other fields of computer science.<br><br>The covered topics include database architecture, storage manager, data models (row, columnar), indexing (tree-based, hash tables), transaction processing (ACID, concurrency control), crash recovery, parallel architectures (multi-core, distributed), and large-scale data processing systems. These topics will be valuable to students who plan to work in the data science industry but also to students who want to do research in the area of data management. The programming component of this course will allow students to develop first-hand experience working with database systems that goes beyond writing SQL queries.<h2>content</h2>        Lectures will cover roughly the following topics:<br>- Database systems architectures, row stores and column stores, OLTP vs. OLAP, in-memory database systems<br>- Storage: secondary-storage devices<br>- Indexing: tree-based and hash-based techniques, multi-dimensional indexing, learning indices from data<br>- Query evaluation: theory of query evaluation, sorting and join processing, selection, projection, aggregation<br>- Query optimisation: cardinality estimation, cost-based query optimisation, dynamic programming, rule-based optimisation<br>- Transaction management: ACID properties, concurrency control, locking and multi-version protocols, crash recovery<br>- Distributed database systems: parallel query evaluation, distributed transaction processing<br>- Big data and NoSQL systems ",cxinfr11199,Edinburgh_UK,Undergraduate Course: Advanced Database Systems (INFR11199),DM,,DM,DM; 10,DM,DM,DM,
Postgraduate Course: Advanced Robotics (INFR11213),"<h2>title</h2>Postgraduate Course: Advanced Robotics (INFR11213)<h2>summary</h2>***This course replaces Robotics: Science and Systems (INFR11092)***<br><br>Robotics is about turning high level goals into plans for action, i.e. robots sense the environment and produce physical motions and interactions with the environment to achieve a goal. In this course, stu-dents will learn the major algorithmic techniques and practical skills in robotics that can be applied and transferred to many real-world applications, such as manipulation of surgical robotics and robot as-sembly in automobile and manufacturing. <br><br>The course assumes no prior knowledge of robotics, so begins with a high-level overview of the major areas in robotics and then introduces core topics: kinematics, dynamics and control; state estimation and signal processing; digital control systems; optimisation and optimal control; robot motion planning and basics of robot learning. <br><br>Building on these fundamentals, the course then focuses on the advanced control and task planning of articulated robotic systems, e.g. robotic manipulators. Students develop a lab practical in both simulation and on a real robot, so as to consolidate theoretical knowledge and develop practical skills.<br><h2>content</h2>        This is a fast-paced course that starts with the fundamentals and then proceeds to go in-depth with core elements in robotics. The focused topics cover: kinematics, dynamics and control; state estimation and signal processing; digital control systems; optimisation, robot motion planning; and robot learning. <br><br>The aim of the course is to present essentials in robotics, articulated robots in particular, culminating in a robotic lab practical. The lab involves the development of an integrated robotic system which embodies the major algorithmic techniques used in real-world robotic applications. To bridge the lectures on algorithms and lab sessions, the course also provides tutorials dedicated to the practice of programming and the implementation of algorithms - from the equations to code.<br><br>Lectures on these topics will be complemented by labs that exercise knowledge of a cross section of these techniques, based on realistic tasks driven by real-world applications, such as dual-arm robot manipulation. The practical lab consists of 2 parts: individual-based simulation (80%), and group-based real robot demonstration (20%). The lab demonstration will be carried out on an advanced humanoid robot and students will work in groups to deploy their work on the real robot. ",cxinfr11213,Edinburgh_UK,Postgraduate Course: Advanced Robotics (INFR11213),SPD,,AI; 10,AR; 10; SPD,SPD; AL,SPD,OS; SPD,
Undergraduate Course: Algorithmic Game Theory and its Applications (UG) (INFR11218),"<h2>title</h2>Undergraduate Course: Algorithmic Game Theory and its Applications (UG) (INFR11218)<h2>summary</h2>This course follows the delivery and assessment of Algorithmic Game Theory and its Applications (INFR11020) exactly. Undergraduate students must register for this course, while MSc students must register for INFR11020 instead.<h2>content</h2>        This course follows the delivery and assessment of Algorithmic Game Theory and its Applications (INFR11020) exactly. Undergraduate students must register for this course, while MSc students must register for INFR11020 instead. ",cxinfr11218,Edinburgh_UK,Undergraduate Course: Algorithmic Game Theory and its Applications (UG) (INFR11218),AI,,AL; 09,AL; 09; 15,AL,AL,AL,
60,<h2>title</h2><h2>summary</h2><h2>content</h2> ,cxinfr11245,Edinburgh_UK,,,,,,,,,Annotation: empty; User: Naaz Sibia; Timestamp: 7/5/2023 4:35:40 PM; Code(s): ; Trigger: ; Annotation: ; User: Ruth Lennon; Timestamp: 7/4/2023 9:39:06 PM; Code(s): ; Trigger: Empty; Annotation: no content; User: Jack Parkinson; Timestamp: 7/2/2023 11:16:33 PM; Code(s): ; Trigger: empty; Annotation: nothing here; User: Thom Kunkeler; Timestamp: 7/1/2023 3:57:30 PM; Code(s): ; Trigger: ; Annotation: this should be deleted; User: Lecia Barker; Timestamp: 6/25/2023 8:46:00 PM; Code(s): ; Trigger: empty; Annotation: this should be removed from the data set; User: Lecia Barker; Timestamp: 6/24/2023 11:02:29 PM; Code(s): ; Trigger: empty
Undergraduate Course: Computational Neuroscience (INFR11209),"<h2>title</h2>Undergraduate Course: Computational Neuroscience (INFR11209)<h2>summary</h2>In this course we study computation in neural systems. We will consider problems such as: <br> <br>How do neurons work and how do they communicate with one another? <br> <br>How do groups of neurons work together to form representations of the external world? <br> <br>How are memories stored and retrieved in the brain? <br>  <br>We will employ a combination of bottom-up and top-down approaches, meaning that we study these problems both by modelling and simulating the biological hardware, and by taking inspiration from artificial intelligence to try to build theories of the brain.<h2>content</h2>        This course focuses on computation in the nervous system. You will be introduced to basic neuroscience concepts, learn about how computational models are used to simulate processes in the brain, and learn about theories for how the brain processes information and performs computations. <br><br>Course Content:<br><br>1. Introduction to basic neuroscience concepts<br>2. Models of neurons<br>3. Neural encoding<br>4. Neural decoding<br>5. Information theory<br>6. Network Models<br>7. Plasticity/learning<br><br>The course will be delivered through lectures and computer labs. ",cxinfr11209,Edinburgh_UK,Undergraduate Course: Computational Neuroscience (INFR11209),AL; 04; 03,,,NC; 04; 03,02; 07; AI,4,04; AI,"Annotation: Computational Neuroscience; User: Sara Hooshangi; Timestamp: 7/2/2023 8:40:57 PM; Code(s): ; Trigger: Computational Neuroscience; Annotation: Used AL for the technical topic, but have no idea if this is appropriate; for non-CS, used Psych and Biol (i.e., to try to get at cognitive science).; User: Lecia Barker; Timestamp: 6/25/2023 8:49:10 PM; Code(s): ; Trigger: neuroscience; Annotation: very low confidence on this coding (AI and biology); User: Lecia Barker; Timestamp: 6/24/2023 11:05:20 PM; Code(s): ; Trigger: computational neuroscience"
Postgraduate Course: Human-Computer Interaction (Level 11) (INFR11017),"<h2>title</h2>Postgraduate Course: Human-Computer Interaction (Level 11) (INFR11017)<h2>summary</h2>The design and implementation of efficient, effective and user friendly computer systems, including software objects and physical internet-enabled things, depends upon understanding both the technology and its users. Only then can designers be confident that these information appliances will be properly matched to the skills, knowledge and needs of their users. The study of Human-Computer Interaction (HCI) seeks to combine perspectives and methods of enquiry drawn from disciplines such as Interaction Design, Psychology and Sociology with the tools, techniques and technologies of Computer Science to create an approach to design which is both relevant and practical.<h2>content</h2>        * Background -- the development and scope of HCI. Practical goals. <br>* HCI relevant issues in human perception, memory and thinking processes. <br>* Approaches to designing information appliances -- software objects and physical things. <br>* Design methodologies and notations -- levels of interface design, evaluation methodologies. <br>* Techniques and technologies -- dialogue styles, information presentation. <br>* The design process -- user involvement, iterative design, prototyping.  <br>* Evaluation -- methodologies, formative and summative. Performance analysis. <br>* Specific issues in HCI -- for example: internet of things, novel interfaces, accessibility, and privacy. <br><br>Relevant QAA Computing Curriculum Sections: Human-Computer Interaction (HCI), Information Systems, Systems Analysis and Design. ",cxinfr11017,Edinburgh_UK,Postgraduate Course: Human-Computer Interaction (Level 11) (INFR11017),HCI,,HCI,HCI; 15; 14,HCI,HCI,HCI,
Postgraduate Course: Introduction to Quantum Computing (INFR11099),"<h2>title</h2>Postgraduate Course: Introduction to Quantum Computing (INFR11099)<h2>summary</h2>The aim of this course is to give students a basic overview of the rapidly growing field of Quantum Computation (QC). The course will start with a brief introduction of the mathematical framework of QC. The two models of quantum circuit and measurement-based quantum computing will be introduced. We cover the most important quantum subroutines and their application to well-known quantum algorithms and compare their performance with respect to classical computing. We finish the course by surveying few more advanced topics, such as quantum error correction, algorithms for near-term architectures and secure delegated QC.<h2>content</h2>        - Basic concepts from Linear Algebra necessary for understanding the axioms of Quantum Mechanics, <br>- Axioms of Quantum Mechanics, describing quantum system, quantum operators, composition, entanglement and measurements <br>- Quantum Computing via quantum circuit model: Description of qubit and universal set of gates. <br>- The first quantum protocols: Quantum teleportation and super dense coding <br>- Quantum subroutines such as Phase Kick-back, Quantum Fourier Transform or Phase-Estimation <br>- Quantum Algorithms such as Grover's Search, Deutsch-Jozsa, Bernstein-Vazirani or Shor. <br>- Quantum Computing via measurement-based model: Description of graph state and measurement calculus <br>- Advanced Topics: quantum error correction, algorithm for near-term architectures, unconditionally secure quantum cloud computing ",cxinfr11099,Edinburgh_UK,Postgraduate Course: Introduction to Quantum Computing (INFR11099),AL; AI,,AL; 07,AR; 10,AL; 09,AR,AR,"Annotation: Quantum Computing; User: Sara Hooshangi; Timestamp: 7/2/2023 8:41:22 PM; Code(s): ; Trigger: Quantum Computing; Annotation: I used AI and AL, but have low confidence; User: Lecia Barker; Timestamp: 6/25/2023 6:54:25 PM; Code(s): AI, AL; Trigger: quantum computing; Annotation: should this course be included?; User: Lecia Barker; Timestamp: 6/24/2023 11:05:51 PM; Code(s): ; Trigger: postgraduate course"
Undergraduate Course: Machine Learning Theory (INFR11202),"<h2>title</h2>Undergraduate Course: Machine Learning Theory (INFR11202)<h2>summary</h2>This course is an introduction to the theory of learning algorithms and their properties that are relevant to the widespread use of machine learning. The course starts with the standard mathematical concepts in theoretical ML. It then covers classical analytic results about accuracy, confidence, sample complexity and model complexity. Standard learning/optimisation algorithms are described in this context. In modern research areas such as trustworthy machine learning, several properties including privacy, fairness and interpretablity are considered vital for widespread reliable use of machine learning. These topics are discussed in a mathematical perspective.<br><br>The course aims to provide a firm foundation in reading and understanding mathematical ideas so that students are equipped to follow the latest developments and research, and to interpret relevant properties and tradeoffs. Throughout, the course will take the approach of precise mathematical definition and analysis, coupled with easy examples and intuition to aid understanding.<h2>content</h2>        The following is an indicative list of topics in the course:<br><br> 1. Notations, terminology and formal models.<br> 2. Learning theory: Empirical risk minimisation and sampling complexity. Probably approximately correct (PAC) guarantees.<br> 3. Complexity of learning models (e.g. VC dimension) and bias-complexity tradeoff.<br> 4. Optimization algorithms. Regression, SVM, Stochastic gradient descent and its variants.<br> 5. Regularization, convexity, stability, Lipschitzness and other properties<br> 6. Statistical Privacy<br> 7. Mechanisms for privacy preserving machine learning. Differentially private stochastic gradient descent.<br> 8. Interpretable machine learning. (E.g. Feature importance)<br> 9. Fairness.<br><br>The topics will be discussed with reference to standard machine learning techniques, and examples of realistic problems. Our approach will include precise definitions and analysis as well as examples and intuitive explanations. The relevance and domain of applicability of the various concepts will be discussed.<br><br>Tutorials and problem sets will be available to help understanding and exploration of the subject. ",cxinfr11202,Edinburgh_UK,Undergraduate Course: Machine Learning Theory (INFR11202),AI,,AI,AI; 09,AI; 09,AI,AI,
"Undergraduate Course: Natural Language Understanding, Generation, and Machine Translation (INFR11157)","<h2>title</h2>Undergraduate Course: Natural Language Understanding, Generation, and Machine Translation (INFR11157)<h2>summary</h2>This course explores current research on processing natural language: interpreting, generating, and translating. The course will focus mainly on deep learning approaches to various NLP tasks and applications. It will provide an introduction to the main neural network architectures used in NLP and how they are used for tasks such as syntactic and semantic parsing, as well as end-user applications such as machine translation and text summarisation.<br><br>Building on linguistic and algorithmic knowledge taught in prerequisite courses, this course also aims to further develop students' understanding of the strengths and weaknesses of current approaches with respect to linguistic and computational considerations. Practical assignments will provide the opportunity to implement and analyse some of the approaches considered.<h2>content</h2>        The course aims to familiarise students with recent research across a range of topics within NLP, mainly within the framework of neural network models, and with a focus on applications such as machine translation, summarisation, and semantic parsing. As an MSc-level course that assumes previous experience with NLP, it will discuss a range of different issues, including linguistic/representational capacity, computational efficiency, optimisation, etc. There is no textbook for the course; readings will come from recent research literature. ",cxinfr11157,Edinburgh_UK,"Undergraduate Course: Natural Language Understanding, Generation, and Machine Translation (INFR11157)",AI,,AI,AL; 09,AI; AL,AI,AI; 19,
Undergraduate Course: Principles and Design of IoT Systems (INFR11150),"<h2>title</h2>Undergraduate Course: Principles and Design of IoT Systems (INFR11150)<h2>summary</h2>The course is concerned with the emerging discipline of digitising the physical world with networks of wireless sensors, analysing the sensor data using machine learning techniques to extract actionable information, and influencing the physical world via actuators, with an optional human in the loop. <br><br>The course imparts foundational concepts in IoT through personal research distilled in the form of two survey papers on foundational topics in IoT, and students working in pairs gain hands-on experience by realising a healthcare application idea as a demonstratable IoT system using wearable sensors by  the send of the semester.<h2>content</h2>        The course aims to deliver a sound understanding of the design and analysis of Internet of Things systems through personal research and practice. The research in a choice of selected foundational topics in IoT provides the foundational knowledge distilled in the form of two 3000-word survey papers.   <br><br>The students conduct a major piece of coursework working in pairs to develop an IoT application using wearable sensors. Students will experience all the stages in the design and implementation of a complex system, from its specification to the demonstration of a working prototype. They will be exposed to aspects of embedded systems programming, sensor data analytics using machine learning methods, user interface design, system integration and testing. Each pair will demonstrate a working prototype at the end of Semester 1 and deliver a written report at the start of Semester 2. <br><br>Each student pair is given a set of Mbed development board (NRF52-DK), Inertial Measurement Unit (MPU-9250) with 3-axis accelerometer and gyroscope sensors, and an on-line software development environment - the ARM Mbed compiler. The task will be to design, implement and demonstrate a Step Tracker for walking on level ground, running and climbing stairs using the wearable sensor which interfaces to an Android App. ",cxinfr11150,Edinburgh_UK,Undergraduate Course: Principles and Design of IoT Systems (INFR11150),SPD,,NC; SPD,AR; SF; 10,SPD; HCI,SPD,AR; AI,
Postgraduate Course: Probabilistic Modelling and Reasoning (INFR11134),"<h2>title</h2>Postgraduate Course: Probabilistic Modelling and Reasoning (INFR11134)<h2>summary</h2>When dealing with real world data, we often need to deal with uncertainty. For example, short segments of speech may be ambiguous, and we need to take into account context in order to make sense of an utterance. Probability theory provides a rigorous method for representing and reasoning with uncertain knowledge. The course covers two main areas (i) the process of inference with probabilistic models and (ii) learning probabilistic models from data. <br><br>Its aim is to provide a firm grounding in probabilistic modelling and reasoning, and to give a basis which will allow students to go on to develop their interests in more specific areas, such as statistical language modelling, bioinformatics, computational neuroscience, or computer vision, to name a few examples.<h2>content</h2>        The course will cover the most important topics in probabilistic modelling and unsupervised learning, and provide a thorough basis for understanding extensions, further developments and applications.<br><br>While the precise topics will vary slightly from year to year, the core content will revolve around:<br>- probabilistic graphical models<br>- exact inference<br>- learning from data<br>- methods for approximate inference and learning<br><br>The course will be delivered in a series of lectures and exercises. In addition to working through exercises with pencil and paper, the students will be expected to complete some programming exercises to gain experience with implementing and using the material taught in the course. ",cxinfr11134,Edinburgh_UK,Postgraduate Course: Probabilistic Modelling and Reasoning (INFR11134),AI; MSF,,9,MSF; 09,MSF; AI,AI,AL; AI,
Undergraduate Course: Security Engineering (INFR11208),"<h2>title</h2>Undergraduate Course: Security Engineering (INFR11208)<h2>summary</h2>This course aims to give students a thorough understanding of how to engineer security in modern systems. We discuss threat actors from nation states through cybercrime gangs to abuse by family members. We dive into detailed case studies of applications such as payment networks and vehicle systems. We analyse the protection mechanisms of platforms they rely on, such as smartcards, mobile phones and cloud systems. We work through multiple perspectives: classical systems engineering, the psychology of users good and bad, and the incentives facing different actors in the system. This enables students to take a holistic view of security as an emergent property of complex systems, and of related properties such as safety, and to understand how to manage them as systems and their environments evolve.<h2>content</h2>        As ever more devices participate in online systems that become ever more complex, it is ever more important,and more difficult, to manage emergent properties such as security, safety and sustainability. Security engineering is not just about individual mechanisms such as cryptography and access controls but how they work together at scale in real systems. This course will illustrate how to analyse threats and hazards systematically, evolve security policies, integrate them with safety policies and accounting standards as need be, test and certify the resulting systems, and manage their evolution as vulnerabilities are discovered or as their requirements change over time.<br><br>Over the course of 15 lectures we will study how real systems are attacked by a variety of opponents and how their defences evolve to cope. We will look in detail at important applications such as payments, home automation and vehicles. We will look at the psychology of secure design: how we can minimise the risk of attacks involving deception. We will analyse the economics of security: when service providers have adequate incentives to prevent fraud, and where market failure or poor regulation get in the way. <br><br>We will take a deep dive into the protection mechanisms of the underlying platforms, from smartcards through mobile phones to containers, and at whole ecosystems such as phone apps, cloud services and network security. By the end of the course, students should be able to analyse a security problem across the entire systems stack, from the threats and protection goals down through the application and the platforms and if need be to the hardware. They should also appreciate how security interacts with related emergent properties such as safety and sustainability. ",cxinfr11208,Edinburgh_UK,Undergraduate Course: Security Engineering (INFR11208),SEC,,SEC,SEC,04; SE,SEC,SEC,
Undergraduate Course: Social and Technological Networks (INFR11124),"<h2>title</h2>Undergraduate Course: Social and Technological Networks (INFR11124)<h2>summary</h2>In this course, we will study core properties of networks arising in various social, scientific and technological contexts. We will see techniques for their analysis, and applications in social networks, World Wide Web, Internet, IoT etc. The course will cover fundamental theories and techniques from machine learning, algorithms and mathematics. We will see the relevance of these techniques in real networks, as well as use of network-based techniques in more general data analysis. The course will involve theoretical analysis in class, development of algorithms, and writing of programs to analyse network data.<h2>content</h2>        The course will study computational, mathematical and data analysis aspects of networks. Typical topics will include properties of social networks, epidemics, spread of innovation, random graphs, metric properties, preferential attachments and power law networks. It will cover relation to data analysis and machine learning: including clustering and community detection, submodularity, optimization, embedding (dimension reduction) and classification. Other current topics will be covered as appropriate. ",cxinfr11124,Edinburgh_UK,Undergraduate Course: Social and Technological Networks (INFR11124),15; MSF,,AL; MSF,NC; 09; 15,04; AL,,NC; DM,
Advanced Networked Systems (H) COMPSCI4091,"<h2>title</h2>Advanced Networked Systems (H) COMPSCI4091<h2>summary</h2><p id=""_COMPSCI40910""><span id=""_COMPSCI40911"">The course aims to give students a deep understanding of the fundamental design, implementation, management, and evaluation principles that govern large-scale, high-speed networked systems. These include algorithmic and implementation techniques for high-speed networking in routers and end-nodes; systems performance measurement and modelling principles; network and system resource management, allocation and engineering schemes; and research and technological advances that drive the development of a converged, global telecommunications medium of the future.</span></p><h2>content</h2><p id=""_COMPSCI409131""><span id=""_COMPSCI409132"">Computer networks have become an integral part of society - we take for granted the ability to transact commerce over the Internet, to store documents online, and that users can avail themselves of a growing set of communication methods, ranging from file sharing to social networking and video conferencing. Moreover, computer networks underpin a lot of recent paradigm-shifting advances in ICT, from Cloud Computing, to Smart Cities and the Internet of Things.</span></p><p id=""_COMPSCI409133"">&nbsp;</p><p id=""_COMPSCI409134""><span id=""_COMPSCI409135"">To support the seamless provision of all these advanced services, computer networks engage a complex set of interconnected systems and components whose design is governed by principles across the spectrum of Computing Science and Engineering: from hardware and software architecture, to protocols and algorithms, to analysis and modelling. </span></p><p id=""_COMPSCI409136""><span id=""_COMPSCI409137"">This course will therefore adopt a holistic systems thinking instead of the 'black-box' thinking that often results from treating concepts (such as, e.g., algorithms, OS, networking) in isolation.</span></p><p id=""_COMPSCI409138"">&nbsp;</p><p id=""_COMPSCI409139"">&nbsp;</p><p id=""_COMPSCI409140""><span id=""_COMPSCI409141"">1. </span><span id=""_COMPSCI409142"">The course </span><span id=""_COMPSCI409143"">will look at 'network algorithmics' as an interdisciplinary systems approach to streamlining network stack implementations in routers and end-nodes, and understand the bottlenecks that need to be overcome in order to meet strict performance requirements.</span></p><p id=""_COMPSCI409144""><span id=""_COMPSCI409145"">2. </span><span id=""_COMPSCI409146"">The course </span><span id=""_COMPSCI409147"">will </span><span id=""_COMPSCI409148"">cover </span><span id=""_COMPSCI409149"">the importance of high performance in network design and implementation, and understand the need for building networked systems that are on par with ever increasing physical link capacities (you can buy more bandwidth, but cannot buy less delay). In doing so, ways to measure network performance</span><span id=""_COMPSCI409150"">&nbsp;will be explored</span><span id=""_COMPSCI409151"">, and also approaches to evaluating and analysing the performance of networked systems. Students will therefore be able to generalise and reason about the capabilities and limitations of different processing and service models. </span></p><p id=""_COMPSCI409152""><span id=""_COMPSCI409153"">3. </span><span id=""_COMPSCI409154"">In addition, the course</span><span id=""_COMPSCI409155"">&nbsp;will look at algorithms and technologies for efficient and fair resource usage, </span><span id=""_COMPSCI409156"">and students will </span><span id=""_COMPSCI409157"">understand the importance of end-to-end protocol design and traffic engineering. </span><span id=""_COMPSCI409158"">For example, students</span><span id=""_COMPSCI409159"">&nbsp;will understand why, in networks, packet loss is not an isolated incident 'when things go wrong' but the norm: a mechanism based on which the appropriate feedback loops</span><span id=""_COMPSCI409160"">&nbsp;can be created </span><span id=""_COMPSCI409161"">to ensure that the underlying resources are used fully and shared equally.</span></p><p id=""_COMPSCI409162""><span id=""_COMPSCI409163"">4. </span><span id=""_COMPSCI409164"">The course will also </span><span id=""_COMPSCI409165"">look at recent technological and research advances in emerging</span><span id=""_COMPSCI409166"">&nbsp;computer networking technologies and protocols. For example, Data Centre / Cloud networking for achieving </span><span id=""_COMPSCI409167"">full bi-section bandwidth; Software-Defined Networking (SDN) as a transformative paradigm aiming to logically centralise the network control plane; Network Function Virtualisation (NFV) as an approach to embed add-on services on top of connectivity in network infrastructures; </span><span id=""_COMPSCI409168"">Resilient networked systems.</span></p><p id=""_COMPSCI409169"">&nbsp;</p><p id=""_COMPSCI409170"">&nbsp;</p><p id=""_COMPSCI409171""><span id=""_COMPSCI409172"">By the end of this course, students will have a deep understanding of the design and implementation principles for building high-performance inter-connected systems, as well as specialist knowledge in advances in computer networking technology. This course will be particularly suitable for students who aspire to successful careers either in systems research, or in diverse industry sectors ranging from global (e.g., Google, Facebook, Amazon) to local (e.g., the banking sector) infrastructure operators, to equipment vendors (e.g., Cisco, Huawei, Ericson) and Internet Service Providers (e.g., BT).</span></p><h2>ilo</h2><p id=""_COMPSCI409173""><span id=""_COMPSCI409174"">By the end of this course students will be able to:</span></p><p id=""_COMPSCI409175""><span id=""_COMPSCI409176"">1.</span><span id=""_COMPSCI409177""> Articulate the key challenges in building high-speed networked systems </span></p><p id=""_COMPSCI409178""><span id=""_COMPSCI409179"">2.</span><span id=""_COMPSCI409180""> </span><span id=""_COMPSCI409181"">Illustrate </span><span id=""_COMPSCI409182"">the design and im</span><span id=""_COMPSCI409183"">plement</span><span id=""_COMPSCI409184"">ation </span><span id=""_COMPSCI409185"">implications</span><span id=""_COMPSCI409186"">&nbsp;</span><span id=""_COMPSCI409187"">for high-performance networked systems, </span><span id=""_COMPSCI409188""><br></span><span id=""_COMPSCI409189""> p</span><span id=""_COMPSCI409190"">rotocols, and algorithms</span></p><p id=""_COMPSCI409191""><span id=""_COMPSCI409192"">3.</span><span id=""_COMPSCI409193""> Design and conduct experiments over diverse networked infrastructures </span></p><p id=""_COMPSCI409194""><span id=""_COMPSCI409195"">4.</span><span id=""_COMPSCI409196"">Outline and critique advances in networking technology and systems</span></p> ",COMPSCI4091,Glasgow_Scotland,Advanced Networked Systems (H) COMPSCI4091,NC,,NC; SF,NC; 09; 15,NC,NC,NC,
Advanced Software Engineering Practices (H) COMPSCI4071,"<h2>title</h2>Advanced Software Engineering Practices (H) COMPSCI4071<h2>summary</h2><p id=""_COMPSCI40710""><span id=""_COMPSCI40711"">This course </span><span id=""_COMPSCI40712"">gives</span><span id=""_COMPSCI40713"">&nbsp;students</span><span id=""_COMPSCI40714"">&nbsp;</span><span id=""_COMPSCI40715"">the opportunity </span><span id=""_COMPSCI40716"">to learn and practice</span><span id=""_COMPSCI40717"">&nbsp;advanced </span><span id=""_COMPSCI40718"">prin</span><span id=""_COMPSCI40719"">ciples, methods and tools </span><span id=""_COMPSCI407110"">in </span><span id=""_COMPSCI407111"">S</span><span id=""_COMPSCI407112"">oftware </span><span id=""_COMPSCI407113"">Engineering.</span><span id=""_COMPSCI407114"">&nbsp; The course is intended for students who have experience of software development through a summer internship or similar. The course covers technical and management</span><span id=""_COMPSCI407115"">&nbsp;skills that are needed for mentoring and </span><span id=""_COMPSCI407116"">leading teams of software developers.  The course is</span><span id=""_COMPSCI407117"">&nbsp;delivered in collaboration with a</span><span id=""_COMPSCI407118"">n</span><span id=""_COMPSCI407119"">&nbsp;established software industry partner</span><span id=""_COMPSCI407120"">&nbsp;(JP Morgan)</span><span id=""_COMPSCI407121"">.</span></p><h2>content</h2><p id=""_COMPSCI407175""><span id=""_COMPSCI407176"">To introduce advanced principles, methods an</span><span id=""_COMPSCI407177"">d tools in</span><span id=""_COMPSCI407178"">&nbsp;</span><span id=""_COMPSCI407179"">S</span><span id=""_COMPSCI407180"">oftwa</span><span id=""_COMPSCI407181"">re Engineering.</span></p><p id=""_COMPSCI407182""><span id=""_COMPSCI407183"">To introduce techniques for effective working in software teams in a mentoring role, </span></p><p id=""_COMPSCI407184""><span id=""_COMPSCI407185"">To expose students to the practicalities and reality of software engineering in industry.</span></p><h2>ilo</h2><p id=""_COMPSCI407186""><span id=""_COMPSCI407187"">By the end of this course students will be able to:</span></p><p id=""_COMPSCI407188""><span id=""_COMPSCI407189"">1. </span><span id=""_COMPSCI407190"">Explain a range of advanced practices in software engineering including change management, requirements negotiation and prioritisation, software architectural decision making, continuous integration and agile project management</span><span id=""_COMPSCI407191"">;</span></p><p id=""_COMPSCI407192""><span id=""_COMPSCI407193"">2. </span><span id=""_COMPSCI407194"">Apply and adapt mentoring techniques for working with less experienced colleagues</span><span id=""_COMPSCI407195"">;</span></p><p id=""_COMPSCI407196""><span id=""_COMPSCI407197"">3. </span><span id=""_COMPSCI407198"">Identify, plan, implement and evaluate improvements to team software processes</span><span id=""_COMPSCI407199"">;</span></p><p id=""_COMPSCI4071100""><span id=""_COMPSCI4071101"">4. </span><span id=""_COMPSCI4071102"">Be aware of the limitations of existing software engineering practices in large scale systems development.</span></p> ",COMPSCI4071,Glasgow_Scotland,Advanced Software Engineering Practices (H) COMPSCI4071,SE,,SE,SE,SE,SE,SE; 17,
